SP Code,SP descp
P1,"Transport this material on dedicated airlift (e.g., Special Assignment Airlift Mission) aircraft as identified in Attachment 24. Material authorized on cargo aircraft only. Passenger deviations are not authorized."
P2 ,Transport this material on cargo aircraft only. Passenger deviations are not authorized.
P3,Transport this material on cargo aircraft only. Deviations are authorized according to paragraph 2.2. and Attachment 22.
P4,Transport this material on cargo aircraft only. Deviations are authorized according to paragraph 2.2. and Attachment 22. DOD duty passengers do not require a deviation.
P5,Transport this material on passenger or cargo aircraft without passenger restriction.
1,"This material is poisonous by inhalation in Hazard Zone A, describe as an inhalation hazard."
2,"This material is poisonous by inhalation in Hazard Zone B, describe as an inhalation hazard."
3,"This material is poisonous by inhalation in Hazard Zone C, describe as an inhalation hazard."
4,"This material is poisonous by inhalation in Hazard Zone D, describe as an inhalation hazard."
5,"If this material meets the defining criteria for a material poisonous by inhalation (49 CFR Paragraphs
173.116(a) or 173.133(a)) use an appropriate Class 2.3 or Class 6.1 generic PSN that identifies the
inhalation hazard"
6,This material is poisonous by inhalation and must be described as an inhalation hazard. (T-0).
8,"A hazardous substance that is not a hazardous waste may be shipped under the shipping description
""Other regulated substance, liquid or solid"", as appropriate."
9,"EPA in 40 CFR Sections 761.60 and 761.65 prescribes packaging for certain PCBs for disposal and
storage"
11,"Package material either as a liquid or solid, as appropriate, depending on its physical form at 55
degrees C (131 degrees F) at atmospheric pressure."
12,"In concentrations greater than 40 percent, this material has strong oxidizing properties and is
capable of starting fires in contact with combustible materials. If applicable, a package containing this
material must comply with the subsidiary hazard labeling requirements of Attachment 15. (T-0)."
13,"Enter the words “Inhalation Hazard” on each shipping paper in association with the shipping
description."
14,"Motor fuel anti-knock mixtures are mixtures of one or more organic lead mixtures (such as tetraethyl
lead, triethylmethyl lead, diethyldimethyl lead, ethyltrimethyl lead, and tetramethyl lead) with one or
more halogen compounds (such as ethylene dibromide and ethylene dichloride), hydrocarbon solvents
or other equally efficient stabilizers; or tetraethyl lead."
21,This material must be stabilized by appropriate means to prevent dangerous polymerization. (T-0).
22,"If the hazardous material is in dispersion in organic liquid, the organic liquid must have a flash
point above 50 degrees C (122 degrees F). (T-0)."
23,"Classify this material as Class 4.1 only if it is packed so that the percentage of diluent will not fall
below that stated in the shipping description at any time during transport."
30,"Sulphur is not regulated if transported in a non-bulk packaging or if formed to a specific shape
(e.g., prills, granules, pellets, pastilles, or flakes)."
33,Ammonium nitrites and mixtures of an inorganic nitrite with an ammonium salt are prohibited.
43,"The nitrogen content of the nitrocellulose must not exceed 11.5 percent. (T-0). Pack each single
filter sheet between sheets of glazed paper. Ensure the portion of glazed paper between the filter sheets
is not less than 65 percent, by mass. The membrane filters/paper arrangement must not be liable to
propagate a detonation. (T-0)."
44,"The formulation must be prepared so that it remains homogenous and does not separate during
transport. (T-0). Formulations with low nitrocellulose contents and neither showing dangerous
properties when tested for their ability to detonate, deflagrate or explode when heated under defined
confinement by the appropriate test methods and criteria in the UN Manual of Tests and Criteria, nor
classed as a Division 4.1 (flammable solid) when tested in accordance with the procedures specified in
49 CFR Section 173.124 (chips, if necessary, crushed and sieved to a particle size of less than 1.25
mm), are not subject to the requirements of this manual."
46,"During transport, it must be protected from direct sunshine and stored (or kept) in a cool and wellventilated
place, away from all sources of heat. (T-0)."
47,"Mixtures of solids which are not subject to this subchapter and flammable liquids may be
transported under this entry without first applying the classification criteria of Division 4.1, provided
there is no free liquid visible at the time the material is loaded or at the time the packaging or transport
unit is closed. Each packaging must correspond to a design type that has passed a leakproofness test at
the Packing Group II level. (T-0). Small inner packagings consisting of sealed packets containing less
than 10 mL of a Class 3 liquid in Packing Group II or III absorbed onto a solid material are not subject
to this subchapter provided there is no free liquid in the packet."
48,"Mixtures of solids which are not subject to this subchapter and toxic liquids may be transported
under this entry without first applying the classification criteria of Division 6.1, provided there is no
free liquid visible at the time the material is loaded or at the time the packaging or transport unit is
closed. Each packaging must correspond to a design type that has passed a leakproofness test at the
Packing Group II level. (T-0). This entry may not be used for solids containing a Packing Group I
liquid."
49,"Mixtures of solids which are not subject to this subchapter and corrosive liquids may be transported
under this entry without first applying the classification criteria of Class 8, provided there is no free
liquid visible at the time the material is loaded or at the time the packaging or transport unit is closed.
Each packaging must correspond to a design type that has passed a leakproofness test at the Packing
Group II level. (T-0)."
51,"This description applies to items previously described as “Toy propellant devices, Class C” and
includes reloaded kits. Model rocket motors containing 30 grams or less propellant are classed as
Division 1.4S and items containing more than 30 grams of propellant but not more than 62.5 grams of
propellant are classed as Division 1.4C."
53,"Packages of these materials must bear a subsidiary hazard label, ""EXPLOSIVE"", unless exempted
by the DOT. (T-0). A copy of the permit must accompany the shipment. (T-0)."
56,"Ensure a means to interrupt and prevent detonation of the detonator from initiating the detonating
cord is installed between each electric detonator and the detonating cord ends of the jet perforating
guns."
60,"An oxygen generator, chemical, that is shipped with its means of initiation attached must
incorporate at least two positive means of preventing unintentional actuation of the generator, and be
classed and approved by the Associate Administrator for Hazardous Materials Safety. (T-0)."
62,Oxygen generators are not authorized for transportation under this entry.
102,"This article may be transported as Class 1.4D if all of the conditions specified in 49 CFR
Paragraph 173.63(a) are met. Reclassification requires approval by a DOD Explosive Hazard
Classification Authority according to A3.3.1.4."
103,"Detonators that will not mass detonate and undergo only limited propagation in the shipping
package may be assigned to Class 1.4B. Mass detonate means that more than 90 percent of the devices
tested in a package explode practically simultaneously. Limited propagation means that if one
detonator near the center of a shipping package is exploded, the aggregate weight of explosives,
excluding ignition and delay charges, in this and all additional detonators in the outer packaging that
explode, may not exceed 25 g. Reclassification requires approval by a DOD Explosive Hazard
Classification Authority according to A3.3.1.4."
105,"The word ""Agents"" may be used instead of ""Explosives"" when approved by the DOT."
106,The recognized name of the particular explosive may be specified in addition to the type.
107,"The classification of the substance is expected to vary especially with the particle size and
packaging, but the border lines have not been experimentally determined; verify appropriate
classifications following the test procedures in 49 CFR Sections 173.57 and 173.58. Reclassification
requires approval by a DOD Explosive Hazard Classification Authority according to A3.3.1.4."
108,"Fireworks must be constructed and packaged so that loose pyrotechnic composition is not present
in packages during transportation. (T-0)."
109,"Rocket motors must be nonpropulsive in transportation unless approved according to A3.3.1.4.
(T-0). To be considered ""nonpropulsive"", a rocket motor must be capable of unrestrained burning and
must not appreciably move in any direction when ignited by any means. (T-0)."
110,"Fire extinguishers transported under UN1044 and oxygen cylinders transported for emergency use
under UN1072 may include installed actuating cartridges (cartridges, power device of Division 1.4C or
1.4S), without changing the classification of Division 2.2 unless listed as a Class 1 material in the
JHCS, provided the aggregate quantity of deflagrating (propellant) explosives does not exceed 3.2
grams per cylinder. Oxygen cylinders with installed actuating cartridges as prepared for transportation
must have an effective means of preventing inadvertent activation. (T-0)."
111,"Explosive substances of Class 1.1A are forbidden for transportation if dry or not desensitized,
unless incorporated in a device."
112,"Cartridges, Small Arms (1.4S) and Cartridges, Power Devices (used to project fastening devices)
(1.4S) may be offered for transportation and transported as limited quantities when authorized and
transported in accordance with 49 CFR Section 173.63. Ammunition shipped internationally must be
classified as explosives (Class 1) and packaged according to Attachment 5. (T-0). For Class 1 material
listed in the JHCS, reclassification requires approval by a DOD Explosive Hazard Classification
Authority according to A3.3.1.4."
113,"The sample must be given a tentative approval by an agency or laboratory according to the
provisions of 49 CFR Section 173.56. (T-0)."
115,"Boosters with detonator (detonating primers) in which the total explosive charge per unit does not
exceed 25 g, and which will not mass detonate and undergo only limited propagation in the shipping
package may be assigned to Class 1.4B. Mass detonate means more than 90 percent of the devices
tested in a package explode practically simultaneously. Limited propagation means that if one booster
near the center of the package is exploded, the aggregate weight of explosives, excluding ignition and
delay charges, in this and all additional boosters in the outer packaging that explode may not exceed 25
g. Reclassification requires approval by a DOD Explosive Hazard Classification Authority according to
A3.3.1.4."
116,"Fuzes, detonating, may be classed in Class 1.4 if the fuzes do not contain more than 25 g of
explosive per fuze and are made and packaged so that they will not cause functioning of other fuzes,
explosives, or other explosive devices if one of the fuzes detonates in a shipping packaging or in
adjacent packages. Reclassification requires approval by a DOD Explosive Hazard Classification
Authority according to A3.3.1.4."
117,"If a shipment of the explosive substance is to take place at a time that freezing weather is
anticipated, the water contained in the explosive substance must be mixed with denatured alcohol so
that freezing will not occur. (T-0)."
118,"This substance may not be transported under the provisions of Division 4.1 unless specifically
authorized by the Associate Administrator."
123,"Any explosive, blasting, type C containing chlorate must be segregated from explosives
containing ammonium nitrate or other ammonium salts. (T-0)."
127,"Mixtures containing oxidizing and organic materials transported under this entry may not meet the
definition and criteria of a Class 1 material."
132,"This description may only be used for ammonium nitrate-based compound fertilizers. They must be
classified in accordance with the procedure as set out in the Manual of Tests and Criteria, part III, section
39. (T-0)."
