Haz Class/Div Num,Haz Class/Div Name
1.1,Explosives (with mass explosion hazard)
1.2,Explosives (with a projection hazard)
1.3,Explosives (with predominately a fire hzard)
1.4,Explosives (with no significant blasting agents)
1.5,Very insensitive explosives; blasting agents
1.6,Extremely insensitive detonating substances
2.1,Flammable gas
2.2,Nonflammable gas
2.3,Poisonous gas
3,Flammable liquid
4.1,Flammable solid
4.2,Spontaneously combustible material
4.3,Dangerous when wet material
5.1,Oxidizer
6.1,Organic peroxide
6.2,Poisonous (toxic) material
7,Radioactive material
8,Corrosive material
9,Miscellaneous hazardous material
