Hazardous substance,pounds,kilograms
A2213,5000,2270
Acenaphthene,100,45.4
Acenaphthylene,5000,2270
Acetaldehyde,1000,454
"Acetaldehyde, chloro-",1000,454
"Acetaldehyde, trichloro-",5000,2270
Acetamide,100,45.4
"Acetamide, N-(aminothioxomethyl)-",1000,454
"Acetamide, N-(4-ethoxyphenyl)-",100,45.4
"Acetamide, N-9H-fluoren-2-yl-",1,0.454
"Acetamide, 2-fluoro-",100,45.4
Acetic acid,5000,2270
"Acetic acid, (2,4-dichlorophenoxy)-, salts & esters",100,45.4
"Acetic acid, ethyl ester",5000,2270
"Acetic acid, fluoro-, sodium salt",10,4.54
"Acetic acid, lead(2 + ) salt",10,4.54
"Acetic acid, thallium(1 + ) salt",100,45.4
"Acetic acid, (2,4,5-trichlorophenoxy)-",1000,454
Acetic anhydride,5000,2270
Acetone,5000,2270
Acetone cyanohydrin,10,4.54
Acetonitrile,5000,2270
Acetophenone,5000,2270
2-Acetylaminofluorene,1,0.454
Acetyl bromide,5000,2270
Acetyl chloride,5000,2270
1-Acetyl-2-thiourea,1000,454
Acrolein,1,0.454
Acrylamide,5000,2270
Acrylic acid,5000,2270
Acrylonitrile,100,45.4
Adipic acid,5000,2270
Aldicarb,1,0.454
Aldicarb sulfone,100,45.4
Aldrin,1,0.454
Allyl alcohol,100,45.4
Allyl chloride,1000,454
Aluminum phosphide,100,45.4
Aluminum sulfate,5000,2270
4-Aminobiphenyl,1,0.454
5-(Aminomethyl)-3-isoxazolol,1000,454
4-Aminopyridine,1000,454
Amitrole,10,4.54
Ammonia,100,45.4
Ammonium acetate,5000,2270
Ammonium benzoate,5000,2270
Ammonium bicarbonate,5000,2270
Ammonium bichromate,10,4.54
Ammonium bifluoride,100,45.4
Ammonium bisulfite,5000,2270
Ammonium carbamate,5000,2270
Ammonium carbonate,5000,2270
Ammonium chloride,5000,2270
Ammonium chromate,10,4.54
"Ammonium citrate, dibasic",5000,2270
Ammonium dichromate@,10,4.54
Ammonium fluoborate,5000,2270
Ammonium fluoride,100,45.4
Ammonium hydroxide,1000,454
Ammonium oxalate,5000,2270
Ammonium picrate,10,4.54
Ammonium silicofluoride,1000,454
Ammonium sulfamate,5000,2270
Ammonium sulfide,100,45.4
Ammonium sulfite,5000,2270
Ammonium tartrate,5000,2270
Ammonium thiocyanate,5000,2270
Ammonium vanadate,1000,454
Amyl acetate,5000,2270
iso-Amyl acetate,5000,2270
sec-Amyl acetate,5000,2270
tert-Amyl acetate,5000,2270
Aniline,5000,2270
o-Anisidine,100,45.4
Anthracene,5000,2270
Antimony¢,5000,2270
Antimony pentachloride,1000,454
Antimony potassium tartrate,100,45.4
Antimony tribromide,1000,454
Antimony trichloride,1000,454
Antimony trifluoride,1000,454
Antimony trioxide,1000,454
"Argentate(1-), bis(cyano-C)-, potassium",1,0.454
Aroclor 1016,1,0.454
Aroclor 1221,1,0.454
Aroclor 1232,1,0.454
Aroclor 1242,1,0.454
Aroclor 1248,1,0.454
Aroclor 1254,1,0.454
Aroclor 1260,1,0.454
Aroclors,1,0.454
Arsenic¢,1,0.454
Arsenic acid H3AsO4,1,0.454
Arsenic disulfide,1,0.454
Arsenic oxide As2O3,1,0.454
Arsenic oxide As2O5,1,0.454
Arsenic pentoxide,1,0.454
Arsenic trichloride,1,0.454
Arsenic trioxide,1,0.454
Arsenic trisulfide,1,0.454
"Arsine, diethyl-",1,0.454
"Arsinic acid, dimethyl- ",1,0.454
"Arsonous dichloride, phenyl- ",1,0.454
Asbestos¢¢,1,0.454
Auramine,100,45.4
Azaserine,1,0.454
Aziridine,1,0.454
"Aziridine, 2-methyl- ",1,0.454
"Azirino[2′,3′:3,4]pyrrolo[1,2-a]indole- 4,7-dione, 6-amino-8- [[(aminocarbonyl)oxy]methyl]- 1,1a,2,8,8a,8b-hexahydro-8a-methoxy-5- methyl-, [1aS-(1aalpha,8beta,8aalpha, 8balpha)]-",10,4.54
Barban,10,4.54
Barium cyanide,10,4.54
Bendiocarb,100,45.4
Bendiocarb phenol,1000,454
Benomyl,10,4.54
"Benz[j]aceanthrylene, 1,2-dihydro-3-methyl-",10,4.54
Benz[c]acridine,100,45.4
Benzal chloride,5000,2270
"Benzamide, 3,5-dichloro-N-(1,1-dimethyl-2-propynyl)-",5000,2270
Benz[a]anthracene,10,4.54
"1,2-Benzanthracene ",10,4.54
"Benz[a]anthracene, 7,12-dimethyl- ",1,0.454
Benzenamine,5000,2270
"Benzenamine, 4,4′-carbonimidoylbis(N,N dimethyl-",100,45.4
"Benzenamine, 4-chloro- ",1000,454
"Benzenamine, 4-chloro-2-methyl-, hydrochloride, ",100,45.4
"Benzenamine, N,N-dimethyl-4-(phenylazo)-",10,4.54
"Benzenamine, 2-methyl- ",100,45.4
"Benzenamine, 4-methyl- ",100,45.4
"Benzenamine, 4,4′-methylenebis[2-chloro-",10,4.54
"Benzenamine, 2-methyl-, hydrochloride ",100,45.4
"Benzenamine, 2-methyl-5-nitro- ",100,45.4
"Benzenamine, 4-nitro- ",5000,2270
Benzene,10,4.54
"Benzeneacetic acid, 4-chloro-α-(4-chlorophenyl)-α-hydroxy-, ethyl ester ",10,4.54
"Benzene, 1-bromo-4-phenoxy- ",100,45.4
"Benzenebutanoic acid, 4-[bis(2-chloroethyl)amino]-",10,4.54
"Benzene, chloro-",100,45.4
"Benzene, (chloromethyl)-",100,45.4
"Benzenediamine, ar-methyl- ",10,4.54
"1,2-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",100,45.4
"1,2-Benzenedicarboxylic acid, dibutylester",10,4.54
"1,2-Benzenedicarboxylic acid, diethylester",1000,454
"1,2-Benzenedicarboxylic acid, dimethylester",5000,2270
"1,2-Benzenedicarboxylic acid, dioctylester",5000,2270
"Benzene, 1,2-dichloro-",100,45.4
"Benzene, 1,3-dichloro- ",100,45.4
"Benzene, 1,4-dichloro- ",100,45.4
"Benzene, 1,1′-(2,2-dichloroethylidene)bis[4-chloro-",1,0.454
"Benzene, (dichloromethyl)- ",5000,2270
"Benzene, 1,3-diisocyanatomethyl- ",100,45.4
"Benzene, dimethyl-",100,45.4
"1,3-Benzenediol",5000,2270
"1,2-Benzenediol,4-[1-hydroxy-2-(methylamino) ethyl]-",1000,454
"Benzeneethanamine, alpha,alphadimethyl-",5000,2270
"Benzene, hexachloro- ",10,4.54
"Benzene, hexahydro- ",1000,454
"Benzene, methyl- ",1000,454
"Benzene, 1-methyl-2,4-dinitro- ",10,4.54
"Benzene, 2-methyl-1,3-dinitro- ",100,45.4
"Benzene, (1-methylethyl)- ",5000,2270
"Benzene, nitro- ",1000,454
"Benzene, pentachloro- ",10,4.54
"Benzene, pentachloronitro- ",100,45.4
Benzenesulfonic acid chloride,100,45.4
Benzenesulfonyl chloride,100,45.4
"Benzene,1,2,4,5-tetrachloro- ",5000,2270
Benzenethiol,100,45.4
"Benzene,1,1′-(2,2,2-trichloroethylidene)bis[4-chloro-",1,0.454
"Benzene,1,1′-(2,2,2-trichloroethylidene)bis[4-methoxy-",1,0.454
"Benzene, (trichloromethyl)- ",10,4.54
"Benzene, 1,3,5-trinitro- ",10,4.54
Benzidine,1,0.454
Benzo[a]anthracene,10,4.54
"1,3-Benzodioxole, 5-(1-propenyl)-1 ",100,45.4
"1,3-Benzodioxole, 5-(2-propenyl)- ",100,45.4
"1,3-Benzodioxole, 5-propyl- ",10,4.54
"1,3-Benzodioxol-4-ol, 2,2-dimethyl- ",1000,454
"1,3-Benzodioxol-4-ol, 2,2-dimethyl-,methyl carbamate",100,45.4
